Year,Island,Site,Viable,Occupied,Egg,Hatch,LastCheck
2017,PI,s750,12,6,5,4,4
2017,PI,s751,10,8,6,6,6
2018,PI,s741,10,7,7,6,6
2018,PI,s742,12,9,8,8,7
2018,PI,s743,13,9,8,7,6
2018,PI,s744,15,7,6,6,6
2018,PI,s746,10,4,3,2,2
2018,PI,s747,10,7,6,5,5
2018,PI,s749,13,10,10,6,6
2018,PI,s750,11,10,9,8,7
2018,PI,s751,11,6,5,4,4
