Title:,Time Series, Area-Averaged of Sea Surface Temperature at 11 microns (Day) monthly 4 km [MODIS-Aqua ()
User Start Date:,2002-07-04T00:00:00Z
User End Date:,2019-02-28T23:59:59Z
User Bounding Box:,"-123.1478,48.1139,-122.9006,48.4202"
Data Bounding Box:,"-123.146,48.1458,-122.937,48.3958"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-07-04T00:00:00Z&endtime=2019-02-28T23:59:59Z&bbox=-123.1478,48.1139,-122.9006,48.4202&data=MODISA_L3m_SST_8d_4km_2014_nsst%2CMODISA_L3m_SST_2014_sst&portal=GIOVANNI&format=json"
Fill Value (MODISA_L3m_SST_2014_sst): -32767

time, MODISA_L3m_SST_2014_sst
2014-11-01 00:45:09,11.0272045
2014-12-01 00:00:09,8.78813362
2015-01-01 00:10:09,7.9097414
2015-02-01 00:05:08,9.54916382
2015-03-01 00:25:09,8.12115669
2015-04-01 00:00:09,9.83196926
2015-05-01 00:00:09,10.7764893
2015-06-01 00:45:09,12.2985764
2015-07-01 00:55:10,12.3164473
2015-08-01 00:20:10,14.9480057
2015-09-01 00:45:10,12.0573549
2015-10-01 00:00:10,9.76378345
2015-11-01 00:10:10,9.97480774
2015-12-01 00:25:10,8.98684597
2016-01-01 00:15:10,9.02202129
2016-02-01 00:35:09,8.47259045
2016-03-01 00:05:10,9.39060211
2016-04-01 00:00:09,9.71968555
2016-05-01 00:10:10,11.3716478
2016-06-01 00:55:10,11.7891989
2016-07-01 01:00:10,12.1336126
2016-08-01 00:30:09,11.9483509
2016-09-01 00:00:09,11.8609896
2016-10-01 00:05:09,10.8496141
2016-11-01 00:25:09,10.9563799
2016-12-01 00:35:09,9.05352497
2017-01-01 00:25:11,7.61792946
2017-02-01 00:50:11,7.55561304
2017-03-01 00:10:11,8.352952
2017-04-01 00:30:11,9.11919212
2017-05-01 01:00:10,10.0275183
2017-06-01 00:30:11,11.645051
2017-07-01 00:40:10,13.8584061
2017-08-01 00:05:11,12.138669
2017-09-01 00:25:11,11.4497118
2017-10-01 00:35:10,10.1078577
2017-11-01 00:25:10,9.11667633
2017-12-01 00:05:01,8.22529411
2018-01-01 00:00:01,7.34327078
2018-02-01 00:20:00,8.17842484
2018-03-01 00:45:01,8.23810577
2018-04-01 00:00:00,8.6784296
2018-05-01 00:40:01,10.3006811
2018-06-01 00:05:01,11.4481859
2018-07-01 00:15:01,12.2278538
2018-08-01 01:00:00,12.4197865
2018-09-01 00:25:00,11.7788601
2018-10-01 00:05:01,10.8013372
2018-11-01 00:00:01,9.40827942
2018-12-01 00:10:01,8.96518135
2019-01-01 00:30:00,8.51275158
2019-02-01 00:20:00,8.00553894
