mm/dd, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
8-Apr,-21,-41,109,6,20,13,-90,23,152
9-Apr,-75,-166,33,-9,16,-80,-12,-20,17
10-Apr,-222,-27,15,-38,17,66,0,-146,-7
11-Apr,-92,-12,-4,12,32,22,-6,-1,3
12-Apr,-49,-35,-114,-52,27,8,-37,-87,33
13-Apr,-136,-42,-191,-33,-3,54,40,-51,36
14-Apr,-19,-32,26,17,40,24,25,-67,14
15-Apr,27,-11,-28,-12,-11,27,-68,-16,7
16-Apr,62,-32,-50,3,-48,13,-26,46,12
17-Apr,8,-62,-68,74,12,7,-123,22,-7
18-Apr,-6,-99,-10,34,-32,-38,-19,28,-44
19-Apr,0,-145,7,34,-96,61,-96,4,-22
20-Apr,-49,-10,8,35,-83,44,4,28,149
21-Apr,14,-64,-13,107,16,21,-3,35,146
22-Apr,11,-84,-2,11,-35,20,6,5,82
23-Apr,-6,-28,15,-29,-85,32,51,-13,-14
24-Apr,13,8,56,-1,-46,34,-41,-21,-1
25-Apr,7,-51,20,-7,3,34,-119,0,-45
26-Apr,-5,36,-21,-77,-70,10,-1,-5,-228
27-Apr,6,39,14,-87,-10,3,-73,-80,-6
28-Apr,16,15,15,2,-44,25,-13,6,48
29-Apr,40,-37,68,-7,-63,96,-5,44,111
30-Apr,42,33,16,-8,-51,34,25,19,31
1-May,30,-23,-6,55,-37,6,5,-4,111
2-May,17,-77,4,46,3,39,-14,13,-2
3-May,8,-10,52,17,-59,60,38,22,270
4-May,-2,1,72,-20,-9,24,27,-1,26
5-May,14,58,51,2,16,7,-3,2,50
6-May,12,27,60,23,21,13,-2,-31,16
7-May,4,9,135,26,-3,9,-2,0,14
8-May,-16,7,132,10,-40,14,73,31,19
9-May,-26,12,28,20,2,38,53,23,13
10-May,43,-4,17,48,13,9,18,-11,62
11-May,52,-22,29,44,1,-29,19,-2,61
12-May,46,-12,6,24,-13,-31,15,-78,24
13-May,11,16,-2,11,2,-20,48,6,39
14-May,7,8,8,23,18,-25,41,31,44
15-May,20,-18,34,43,-15,-18,89,7,32
16-May,31,62,29,30,-2,-1,98,3,10
17-May,20,8,13,9,-1,-13,81,21,1
18-May,14,-6,71,20,4,15,14,30,-57
19-May,13,11,41,38,21,50,-2,15,-262
20-May,16,18,16,45,36,40,-68,22,-109
21-May,9,26,10,49,9,65,-57,28,19
22-May,20,32,3,40,-3,7,-21,7,40
23-May,55,133,13,38,15,-2,4,15,-13
24-May,44,77,30,36,7,3,29,-10,-85
25-May,37,28,50,26,-9,-5,31,-8,-40
26-May,10,25,52,27,1,-23,20,-47,1
27-May,12,5,21,25,15,-87,5,-8,51
28-May,62,17,-17,30,45,-33,15,37,50
29-May,60,38,21,45,14,9,-8,25,6
30-May,27,-5,11,28,46,-12,-44,1,-34
31-May,19,-30,9,18,57,-1,-20,4,-3
1-Jun,-31,-32,1,14,41,54,-8,8,-109
2-Jun,8,-15,-17,11,75,40,21,-3,-34
3-Jun,17,22,-8,15,55,25,7,11,-18
4-Jun,4,11,36,18,65,34,52,31,12
5-Jun,-75,5,52,36,43,34,39,44,3
6-Jun,-7,1,86,56,33,10,-92,75,5
7-Jun,-34,-20,56,57,24,9,-84,58,17
8-Jun,-21,-12,36,125,31,1,6,13,12
9-Jun,8,-10,-3,96,38,1,57,8,19
10-Jun,0,31,13,79,7,26,-3,15,65
11-Jun,8,40,20,75,6,-11,-7,13,15
12-Jun,-21,70,9,59,31,-51,51,-13,28
13-Jun,10,22,21,35,64,-60,55,11,96
14-Jun,9,-46,1,25,16,-4,2,21,44
15-Jun,61,-186,2,63,33,1,-28,45,48
16-Jun,40,19,6,53,47,52,-25,18,54
17-Jun,26,-13,11,27,25,39,46,5,21
18-Jun,10,-17,12,15,0,37,42,38,33
19-Jun,3,12,11,19,-30,37,8,5,35
20-Jun,19,76,31,34,4,39,3,1,28
21-Jun,30,52,10,21,3,5,13,13,7
22-Jun,25,37,-1,7,3,12,16,44,1
23-Jun,16,29,14,1,-4,5,0,13,1
24-Jun,27,6,21,-6,11,-2,2,11,18
25-Jun,14,36,13,14,18,31,10,14,26
26-Jun,30,83,41,71,-24,-6,2,-1,3
27-Jun,33,47,65,64,-46,-40,-20,-20,6
28-Jun,1,40,65,15,-17,-54,-68,4,6
29-Jun,8,29,52,21,5,-7,-22,24,7
30-Jun,14,40,17,80,16,16,26,0,1
1-Jul,60,22,4,60,8,48,21,-3,2
2-Jul,56,51,28,82,34,74,-4,12,39
3-Jul,7,47,49,80,13,62,32,20,14
4-Jul,-11,44,35,49,-4,58,11,14,51
5-Jul,-3,33,8,4,-23,64,13,26,45
6-Jul,-22,38,1,8,-3,70,20,51,36
7-Jul,-4,28,-72,17,49,64,40,83,6
8-Jul,8,18,-37,20,67,38,60,18,14
9-Jul,7,55,-32,18,88,62,42,9,41
10-Jul,25,50,20,1,43,68,43,5,28
11-Jul,53,13,-6,-18,25,31,45,9,55
12-Jul,69,13,6,-11,22,26,47,8,80
13-Jul,87,13,17,24,45,39,45,-4,29
14-Jul,28,8,51,35,50,54,69,-16,28
15-Jul,45,22,43,37,62,48,54,-16,58
16-Jul,45,22,21,48,75,11,25,-1,41
17-Jul,55,25,10,55,84,5,39,5,40
18-Jul,54,16,0,33,35,37,23,24,40
19-Jul,58,6,-6,28,34,65,19,21,32
20-Jul,49,3,2,46,28,53,-14,2,32
21-Jul,30,-24,27,37,2,51,-8,22,48
22-Jul,32,15,29,12,-7,37,26,5,54
23-Jul,36,69,9,7,0,59,27,5,28
24-Jul,34,50,28,0,15,54,40,24,73
25-Jul,45,43,59,3,3,63,32,28,53
26-Jul,41,41,54,19,6,96,24,26,34
27-Jul,30,28,57,16,24,61,15,28,29
28-Jul,17,20,76,14,24,28,8,24,30
29-Jul,18,9,118,31,35,17,6,23,34
30-Jul,20,23,123,46,46,15,12,7,48
31-Jul,24,51,32,52,53,20,30,24,20
1-Aug,24,53,30,65,40,20,21,18,13
2-Aug,27,43,36,48,36,10,32,-2,29
3-Aug,12,41,23,54,36,22,25,13,18
4-Aug,4,20,65,43,41,33,12,30,11
5-Aug,1,13,44,20,32,27,5,21,22
6-Aug,12,37,3,4,43,27,-4,37,13
7-Aug,31,48,8,4,35,25,3,22,4
8-Aug,23,26,23,-20,25,34,2,25,21
9-Aug,19,26,13,-11,24,55,61,11,21
10-Aug,14,35,29,3,34,22,41,12,11
11-Aug,15,40,37,45,13,12,45,23,29
12-Aug,15,-5,33,41,13,8,56,15,39
13-Aug,24,34,55,30,12,-2,36,3,11
14-Aug,18,5,47,36,10,-33,47,2,-18
15-Aug,37,16,43,13,6,-10,15,6,-3
16-Aug,61,21,71,32,17,-12,-1,16,12
17-Aug,43,17,70,29,28,-3,-4,19,23
18-Aug,39,32,40,41,43,-1,11,11,25
