
DOY, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
64, 0.000, 9.000, -398.000, -1.000, -114.000, -64.000, -18.000, 0.000, -3.000
65, -12.000, -15.000, -256.000, 1.000, -53.000, 13.000, 118.000, 1.000, 0.000
66, -55.000, -26.000, -147.000, 17.000, -126.000, 0.000, 49.000, -45.000, 87.000
67, -1.000, 0.000, -13.000, 13.000, -173.000, 12.000, -6.000, -77.000, 91.000
68, 3.000, -63.000, -102.000, 19.000, 5.000, 1.000, -48.000, -241.000, -130.000
69, -57.000, -1.000, -539.000, -36.000, 39.000, 2.000, -32.000, -50.000, -190.000
70, -73.000, -127.000, -191.000, -119.000, -15.000, -48.000, -117.000, -235.000, -64.000
71, -207.000, -124.000, -134.000, -58.000, 7.000, -87.000, -123.000, -148.000, -90.000
72, -148.000, -49.000, -148.000, -71.000, -51.000, -81.000, -362.000, -536.000, -89.000
73, -34.000, -52.000, -86.000, -34.000, -9.000, -69.000, -88.000, -343.000, -226.000
74, -16.000, 4.000, -27.000, 17.000, -175.000, -5.000, -401.000, -230.000, -87.000
75, 19.000, -71.000, -2.000, -27.000, 60.000, 82.000, -194.000, -20.000, -213.000
76, 7.000, -61.000, 16.000, -3.000, 72.000, 43.000, -23.000, -257.000, 40.000
77, -1.000, 35.000, -55.000, -48.000, -6.000, 16.000, 41.000, -134.000, 17.000
78, 9.000, -2.000, -148.000, -108.000, 47.000, -260.000, 6.000, -15.000, -43.000
79, 5.000, -106.000, -46.000, -49.000, 15.000, 27.000, -175.000, 13.000, -124.000
80, -10.000, -141.000, -100.000, -19.000, 6.000, 55.000, -55.000, 3.000, -18.000
81, -54.000, -54.000, -62.000, -45.000, 0.000, 19.000, -28.000, -14.000, 16.000
82, -67.000, -237.000, 3.000, -8.000, -10.000, -38.000, -35.000, -76.000, -7.000
83, 2.000, -115.000, -129.000, -77.000, -165.000, -78.000, -41.000, -32.000, -38.000
84, -23.000, -37.000, 13.000, -115.000, -121.000, -32.000, -24.000, -52.000, 12.000
85, -38.000, -166.000, -7.000, -36.000, -30.000, 0.000, 3.000, -62.000, 0.000
86, 37.000, -79.000, -22.000, -4.000, -36.000, 2.000, -125.000, -63.000, -215.000
87, 17.000, -137.000, 67.000, -79.000, -193.000, 8.000, -287.000, -107.000, -250.000
88, 4.000, 5.000, 38.000, -61.000, -86.000, 17.000, -359.000, -72.000, -104.000
89, 30.000, 38.000, 16.000, -35.000, -61.000, 20.000, -83.000, -16.000, -7.000
90, 13.000, -30.000, 2.000, 20.000, -67.000, 4.000, -1.000, 30.000, 12.000
91, 72.000, 38.000, 13.000, 15.000, 16.000, 4.000, -9.000, 72.000, -115.000
92, 29.000, 41.000, 37.000, -35.000, -16.000, 1.000, -50.000, 101.000, -269.000
93, -17.000, -11.000, 5.000, -26.000, -64.000, 0.000, -373.000, -83.000, -42.000
94, -110.000, -344.000, -20.000, -34.000, -15.000, -31.000, -12.000, -5.000, -267.000
95, -173.000, -33.000, 14.000, -6.000, -15.000, -92.000, 12.000, -20.000, -17.000
96, -102.000, -42.000, -46.000, 0.000, -19.000, -36.000, 8.000, 12.000, 19.000
97, -415.000, -214.000, -15.000, 11.000, -32.000, 75.000, -4.000, 38.000, -39.000
98, -21.000, -41.000, -109.000, 6.000, 20.000, 13.000, -63.000, 23.000, 152.000
99, -75.000, -166.000, 109.000, -9.000, 16.000, -80.000, -90.000, -20.000, 17.000
100, -222.000, -27.000, 33.000, -38.000, 17.000, 66.000, -12.000, -146.000, -7.000
101, -92.000, -12.000, 15.000, 12.000, 32.000, 22.000, 0.000, -1.000, 3.000
102, -49.000, -35.000, -4.000, -52.000, 27.000, 8.000, -6.000, -87.000, 33.000
103, -136.000, -42.000, -114.000, -33.000, -3.000, 54.000, -37.000, -51.000, 36.000
104, -19.000, -32.000, -191.000, 17.000, 40.000, 24.000, 40.000, -67.000, 14.000
105, 27.000, -11.000, 26.000, -12.000, -11.000, 27.000, 25.000, -16.000, 7.000
106, 62.000, -32.000, -28.000, 3.000, -48.000, 13.000, -68.000, 46.000, 12.000
107, 8.000, -62.000, -50.000, 74.000, 12.000, 7.000, -26.000, 22.000, -7.000
108, -6.000, -99.000, -68.000, 34.000, -32.000, -38.000, -123.000, 28.000, -44.000
